crop_name,soil_type,crop_age_days,day_of_year,temperature_C,humidity_%,rainfall_mm,effective_rainfall_mm,solar_radiation_MJ_m2_day,wind_speed_m_s,field_capacity_%,wilting_point_%,soil_moisture_%,reference_evapotranspiration_ET0_mm_day,crop_coefficient_Kc,application_efficiency_%,root_zone_depth_m,available_water_content_mm_per_m,irrigation_interval_days,p_fraction,irrigate,irrigation_amount_m3
Grape,Sandy,20,82,14.25,82.31,0.53,0.41,16.2,2.32,18.56,7.61,8.61,2.94,0.3,77.81,0.744,81.47,3,0.517,1,285.42
Apple,Clay Loam,45,124,22.15,54.87,1.24,0.91,20.98,0.78,37.92,21.45,28.38,5.017,0.675,58.93,1.844,303.71,1,0.554,1,298.52
Apple,Loam,181,232,23.89,61.18,0.32,0.22,22.21,3.03,29.48,14.84,24.48,6.131,1.035,75.38,1.038,151.96,6,0.557,1,413.11
Apple,Loam,142,172,24.46,54.53,0.41,0.23,23.36,1.68,31.48,14.92,21.24,6.222,1.2,87.76,1.057,175.04,2,0.514,1,246.67
Apple,Loam,60,246,24.89,67.14,0.99,0.77,19.01,3.97,31.56,13.16,18.45,5.58,0.9,79.29,1.5,276.0,2,0.558,1,496.03
Tomato,Loam,26,288,23.37,57.74,6.96,4.7,13.21,3.29,30.75,14.51,22.49,4.778,0.6,71.85,1.498,243.28,11,0.404,1,1894.34
Grape,Loam,115,112,21.35,47.78,0.68,0.52,21.45,1.96,32.08,13.54,17.3,5.835,0.85,55.03,0.871,161.48,11,0.504,1,2573.27
Tomato,Loam,113,46,16.09,66.51,1.0,0.54,13.26,3.49,32.32,13.66,28.32,3.479,1.108,55.52,0.51,95.17,7,0.404,0,0.0
Apple,Silty Loam,112,158,23.74,47.19,0.04,0.02,24.91,0.94,35.61,13.58,26.71,6.243,1.2,79.02,1.004,221.18,13,0.577,1,1470.04
Grape,Sandy,235,2,11.18,70.08,3.93,2.04,16.32,3.5,17.49,8.69,9.69,3.133,0.483,74.36,0.789,69.43,6,0.481,1,496.57
Potato,Sandy Loam,6,359,8.21,73.63,0.58,0.45,8.83,1.38,21.73,9.73,14.67,1.624,0.5,63.37,0.523,62.76,11,0.394,1,640.94
Grape,Loam,110,279,22.88,68.21,3.67,2.15,16.21,2.87,31.03,13.44,30.53,4.497,0.85,66.32,0.562,98.86,1,0.489,0,0.0
Tomato,Sandy Loam,13,171,21.93,59.16,0.16,0.12,23.23,2.82,22.6,9.01,13.39,6.064,0.6,71.71,0.808,109.81,12,0.434,1,1245.3
Potato,Loam,111,120,14.64,56.32,1.1,0.75,18.33,3.26,31.64,14.94,21.68,4.43,1.003,65.85,0.498,83.17,6,0.385,1,451.94
Potato,Sandy Loam,49,327,10.4,68.78,3.17,2.51,5.22,3.99,21.16,10.13,11.13,1.9,1.02,75.53,0.555,61.22,6,0.372,1,442.21
Grape,Sandy Loam,43,326,14.22,76.07,0.88,0.52,13.06,3.38,21.78,10.89,18.35,2.779,0.616,76.64,0.706,76.88,3,0.511,0,0.0
Grape,Sandy Loam,193,225,36.26,63.05,0.04,0.03,24.37,1.12,21.14,9.51,13.66,7.02,0.763,60.13,0.546,63.5,5,0.501,1,339.6
Potato,Silt Loam,16,9,8.01,81.57,7.68,4.94,4.29,2.36,32.29,13.9,21.58,0.972,0.5,83.97,0.407,74.85,12,0.389,1,622.93
Apple,Clay Loam,171,28,3.03,78.15,3.2,1.88,9.05,3.14,37.12,21.1,30.3,1.35,1.185,59.19,1.402,224.6,2,0.56,0,0.0
Tomato,Loam,101,283,18.78,72.28,0.73,0.54,9.32,2.52,31.03,14.55,23.08,2.657,1.15,71.27,1.045,172.22,9,0.386,1,1049.11
Apple,Clay Loam,25,37,8.01,46.8,9.91,5.04,12.35,4.2,34.95,22.49,34.45,3.341,0.45,69.85,1.355,168.83,11,0.518,0,0.0
Apple,Loam,163,337,10.52,77.7,3.81,2.23,5.95,0.75,32.59,13.65,27.93,1.136,1.2,61.25,1.723,326.34,4,0.541,0,0.0
Potato,Sandy Loam,21,152,18.5,52.18,0.81,0.51,22.75,3.07,21.54,9.1,16.01,5.853,0.5,63.88,0.499,62.08,12,0.398,1,518.37
Potato,Loam,101,189,32.21,52.28,0.34,0.23,17.14,2.48,29.02,13.72,28.52,6.446,1.137,58.69,0.417,63.8,4,0.397,1,56.84
Tomato,Loam,59,33,13.9,65.46,1.11,0.88,14.52,2.47,30.99,13.96,18.71,3.273,0.999,89.98,0.526,89.58,10,0.376,1,717.86
Apple,Clay Loam,162,300,14.46,64.84,0.71,0.36,13.9,4.29,34.04,22.06,32.61,3.581,1.2,88.95,1.853,221.99,12,0.523,1,499.97
Potato,Sandy Loam,89,57,12.86,86.37,2.75,1.55,10.46,4.42,21.9,10.37,17.23,1.868,1.15,87.61,0.47,54.19,4,0.367,1,100.21
Potato,Loam,29,326,16.24,65.77,0.65,0.44,10.93,2.75,30.66,13.57,26.38,3.031,0.587,85.97,0.534,91.26,12,0.361,0,0.0
Potato,Sandy Loam,14,261,26.58,54.26,0.13,0.08,16.57,3.16,23.28,10.71,18.64,5.959,0.5,74.28,0.518,65.11,6,0.399,0,0.0
Tomato,Sandy Loam,123,196,36.1,54.86,0.03,0.01,20.77,2.54,24.42,10.42,17.6,7.569,0.968,68.4,1.296,181.44,7,0.353,1,904.55
Grape,Sandy Loam,89,349,14.81,55.82,0.36,0.22,5.67,2.07,21.98,10.7,21.23,2.246,0.85,78.4,0.918,103.55,13,0.492,0,0.0
Potato,Silt Loam,129,95,16.35,63.99,2.05,1.39,18.0,2.19,31.63,12.09,26.3,4.077,0.763,80.07,0.558,109.03,4,0.373,0,0.0
Tomato,Sandy Loam,62,186,25.88,50.16,0.07,0.04,25.63,3.78,24.75,9.73,20.89,8.07,1.04,74.43,1.257,188.8,5,0.445,1,325.95
Apple,Clay Loam,140,342,4.49,51.27,7.69,5.37,9.76,2.29,36.39,21.62,30.43,2.115,1.2,89.17,1.203,177.68,3,0.595,0,0.0
Tomato,Loam,10,151,28.53,58.4,0.16,0.09,22.02,4.34,32.63,13.62,24.11,7.497,0.6,61.13,1.3,247.13,7,0.406,1,1268.31
Grape,Loam,56,330,19.99,72.42,0.4,0.26,9.98,2.69,30.91,14.64,22.69,2.893,0.795,66.38,0.787,128.04,9,0.55,0,0.0
Potato,Loam,101,286,15.73,74.09,1.58,0.83,12.57,1.05,29.47,14.34,19.88,2.62,1.137,71.62,0.404,61.13,10,0.367,1,540.96
Grape,Sandy Loam,37,64,12.57,59.25,2.96,2.2,15.24,2.29,24.26,10.12,14.32,3.406,0.534,80.27,0.864,122.17,8,0.472,1,855.93
Tomato,Clay Loam,79,46,13.31,78.75,2.22,1.76,9.81,2.95,37.11,22.58,30.41,2.119,1.15,74.39,1.477,214.61,10,0.356,1,1330.27
Apple,Silty Loam,130,257,20.42,58.83,0.99,0.77,19.98,2.17,35.91,14.15,30.92,5.103,1.2,80.9,1.625,353.6,12,0.559,1,1202.78
Grape,Loam,97,186,33.37,34.98,0.0,0.0,25.26,4.02,29.43,13.5,25.58,10.937,0.85,82.24,0.999,159.14,3,0.485,1,140.3
Tomato,Sandy Loam,19,151,30.27,63.68,0.1,0.07,26.47,1.58,24.53,9.75,15.62,7.174,0.6,70.7,0.946,139.82,5,0.423,1,596.1
Grape,Sandy Loam,8,304,14.31,72.37,0.91,0.5,8.32,2.62,24.76,10.24,17.95,2.191,0.3,63.83,0.745,108.17,10,0.479,0,0.0
Apple,Silty Loam,69,246,23.6,55.59,0.45,0.32,16.48,4.16,36.26,14.0,30.68,5.86,1.035,74.32,1.494,332.56,3,0.539,1,336.51
Grape,Sandy Loam,12,24,16.32,72.94,1.95,1.21,8.57,0.55,24.85,9.66,17.58,1.819,0.3,71.23,0.521,79.14,6,0.497,0,0.0
Potato,Sandy Loam,125,35,12.21,84.26,0.16,0.12,8.47,4.04,21.15,10.51,12.81,1.692,0.817,55.82,0.448,47.67,8,0.375,1,535.48
Potato,Loam,9,156,21.35,57.68,0.53,0.3,24.85,2.39,31.2,13.92,25.23,6.21,0.5,62.33,0.432,74.65,3,0.387,0,0.0
Grape,Sandy,36,213,33.94,43.13,0.09,0.05,21.72,4.08,17.21,8.23,11.96,9.628,0.52,63.26,0.963,86.48,1,0.503,1,79.92
Tomato,Loam,39,7,13.78,80.42,0.52,0.3,10.48,2.06,30.75,14.41,26.25,2.111,0.724,67.03,0.581,94.94,11,0.418,0,0.0
Apple,Clay Loam,178,207,34.66,44.39,0.01,0.01,21.55,1.43,37.53,22.58,36.25,7.12,1.08,78.65,1.382,206.61,6,0.536,1,210.86
Potato,Silt Loam,19,141,22.11,86.74,0.23,0.14,20.01,2.27,33.74,12.05,30.11,4.137,0.5,76.61,0.427,92.62,12,0.387,0,0.0
Grape,Sandy Loam,165,29,9.61,57.69,3.47,1.97,11.55,0.58,22.91,10.23,17.22,2.139,0.85,89.91,0.773,98.02,8,0.505,0,0.0
Apple,Loam,142,203,22.4,59.45,0.05,0.03,23.3,2.49,31.32,14.46,24.04,6.039,1.2,58.45,1.746,294.38,11,0.522,1,2392.12
Tomato,Loam,30,243,31.63,74.6,0.11,0.06,12.62,3.08,30.35,14.41,20.07,4.311,0.6,86.9,1.185,188.89,6,0.429,1,841.09
Grape,Sandy Loam,211,173,31.11,39.52,0.02,0.01,26.92,2.41,24.99,10.97,17.76,9.086,0.643,79.15,0.892,125.06,7,0.466,1,570.36
Tomato,Sandy Loam,52,259,28.7,69.29,1.56,1.07,15.44,3.9,22.26,10.51,19.32,5.247,0.902,76.12,0.911,107.04,11,0.351,1,387.04
Tomato,Clay Loam,98,127,23.15,74.54,0.09,0.07,21.59,2.58,34.41,21.41,33.91,5.11,1.15,81.29,1.306,169.78,3,0.425,1,96.4
Tomato,Clay Loam,74,288,22.09,72.44,10.88,5.49,13.3,3.0,35.0,22.72,32.71,3.71,1.15,63.25,0.884,108.56,5,0.376,0,0.0
Potato,Loam,77,173,23.51,69.07,0.22,0.16,22.57,1.26,31.31,14.7,22.75,5.344,1.15,89.2,0.501,83.22,2,0.396,1,96.16
Grape,Loam,107,167,25.08,42.02,0.04,0.03,24.41,0.82,29.76,14.7,18.7,6.304,0.85,88.86,0.952,143.37,5,0.485,1,592.46
Potato,Silt Loam,118,310,9.27,77.43,1.03,0.67,8.19,3.34,32.53,12.79,30.41,1.713,0.91,63.47,0.537,106.0,12,0.386,0,0.0
Grape,Loam,46,80,9.96,84.64,0.35,0.26,17.48,1.78,30.79,13.83,25.15,2.699,0.657,78.63,0.551,93.45,8,0.546,0,0.0
Grape,Sandy,120,158,32.26,48.97,0.05,0.03,30.0,2.52,19.37,8.28,14.04,9.46,0.85,58.17,0.76,84.28,10,0.491,1,696.37
Potato,Silt Loam,15,259,25.27,58.56,0.25,0.15,17.13,4.12,32.04,13.01,28.45,5.998,0.5,71.96,0.489,93.06,11,0.355,0,0.0
Grape,Loam,124,48,12.78,82.83,1.28,0.89,11.64,2.39,32.56,13.42,28.63,2.149,0.85,66.19,0.773,147.95,3,0.487,0,0.0
Potato,Silt Loam,42,128,20.07,62.01,0.65,0.49,21.25,1.57,34.28,13.72,29.26,4.995,0.868,79.84,0.493,101.36,3,0.351,1,92.99
Apple,Clay Loam,6,350,5.51,52.52,1.16,0.66,9.6,2.78,35.12,22.89,34.62,2.272,0.45,84.39,1.572,192.26,13,0.599,0,0.0
Grape,Sandy,212,189,35.41,39.03,0.0,0.0,26.03,1.08,17.57,7.41,8.41,8.047,0.637,55.39,0.975,99.06,6,0.486,1,967.43
Apple,Clay Loam,77,148,20.1,79.24,1.95,1.54,18.65,2.04,34.88,22.85,32.9,4.01,1.155,82.44,1.717,206.56,1,0.551,0,0.0
Tomato,Loam,41,72,14.73,77.86,2.31,1.23,19.4,2.03,32.38,14.11,24.2,3.628,0.751,55.28,0.71,129.72,7,0.355,1,735.43
Tomato,Clay Loam,20,69,12.55,76.75,5.19,2.84,14.02,2.92,36.23,21.01,26.69,2.691,0.6,78.84,0.518,78.84,5,0.41,1,313.4
Grape,Loam,79,200,37.15,36.45,0.0,0.0,23.32,4.02,29.55,13.5,19.14,11.152,0.85,65.76,0.883,141.72,4,0.465,1,559.13
Grape,Loam,62,260,31.51,43.22,0.12,0.08,21.52,0.93,31.07,14.45,22.8,6.332,0.85,72.07,0.542,90.08,8,0.53,1,497.55
Potato,Sandy Loam,8,251,24.54,66.75,0.01,0.01,19.59,1.14,23.28,9.87,20.03,4.853,0.5,79.36,0.569,76.3,9,0.38,0,0.0
Grape,Sandy,17,358,11.69,68.44,1.41,0.9,10.37,3.46,17.35,7.19,8.19,2.539,0.3,78.54,0.813,82.6,13,0.493,1,1232.65
Apple,Clay Loam,44,300,9.13,64.86,0.12,0.06,10.91,1.75,34.05,21.25,28.25,2.212,0.66,89.06,1.097,140.42,9,0.575,0,0.0
Tomato,Loam,17,249,24.11,56.37,0.49,0.39,21.27,3.9,32.2,14.93,25.8,6.594,0.6,82.62,1.204,207.93,9,0.362,1,839.39
Potato,Sandy Loam,9,33,10.25,73.65,6.43,3.9,10.67,3.94,21.47,9.99,14.59,2.266,0.5,89.19,0.566,64.98,5,0.383,1,218.3
Potato,Loam,9,85,15.61,79.54,0.88,0.6,18.0,4.49,31.49,14.98,20.57,3.423,0.5,66.45,0.595,98.23,6,0.391,1,586.67
Apple,Loam,72,269,20.72,70.95,0.52,0.35,20.52,2.64,31.47,13.83,25.62,4.809,1.08,70.97,1.359,239.73,2,0.539,1,224.04
Potato,Silt Loam,42,181,26.83,47.59,0.09,0.04,22.13,3.84,34.2,12.2,32.74,7.847,0.868,63.73,0.537,118.14,3,0.394,1,50.56
Tomato,Clay Loam,89,317,6.33,68.25,2.95,2.07,5.69,4.07,34.27,22.26,26.04,1.663,1.15,77.17,1.424,171.02,13,0.415,1,1974.26
Tomato,Sandy Loam,8,185,29.52,52.77,0.01,0.0,20.97,1.48,21.48,10.31,14.9,6.23,0.6,60.07,0.918,102.54,9,0.406,1,905.01
Potato,Silt Loam,33,55,16.27,84.78,8.73,4.48,11.12,0.58,32.7,12.15,28.81,2.169,0.673,89.36,0.56,115.08,9,0.388,0,0.0
Tomato,Loam,58,60,9.77,70.5,2.91,1.76,14.85,2.62,31.87,13.45,28.35,2.729,0.985,79.75,1.026,188.99,5,0.419,0,0.0
Grape,Loam,222,217,35.21,43.83,0.05,0.03,26.56,3.5,29.8,13.97,19.53,10.325,0.57,82.46,0.975,154.34,10,0.53,1,1214.32
Tomato,Loam,132,255,33.46,60.84,1.48,1.02,19.99,0.5,31.16,13.19,25.19,5.373,0.842,59.23,1.427,256.43,12,0.44,1,1725.99
Tomato,Loam,21,341,14.98,71.55,2.56,1.34,7.64,4.44,30.32,13.64,24.2,2.511,0.6,56.42,0.507,84.57,12,0.369,0,0.0
Grape,Sandy,1,69,15.28,69.82,0.44,0.34,16.96,1.34,17.36,8.53,10.93,3.476,0.3,67.48,0.886,78.23,9,0.465,1,759.82
Tomato,Sandy Loam,90,177,34.41,59.82,0.71,0.55,17.77,3.74,23.81,9.81,10.81,7.145,1.15,75.09,1.1,154.0,6,0.401,1,1142.63
Apple,Clay Loam,53,273,17.98,60.2,0.29,0.19,14.69,2.33,34.51,22.05,34.01,3.907,0.795,62.24,1.682,209.58,4,0.574,0,0.0
Potato,Sandy Loam,71,359,6.53,80.19,6.01,4.3,12.86,3.52,24.78,10.07,16.25,1.903,1.15,73.79,0.531,78.11,9,0.388,1,552.44
Potato,Loam,97,266,22.35,59.4,4.44,2.23,21.07,4.16,32.99,14.47,24.86,6.123,1.15,77.91,0.525,97.23,11,0.388,1,602.63
Potato,Loam,19,136,16.04,69.51,4.16,3.24,26.89,2.21,30.68,14.99,30.18,5.241,0.5,60.99,0.49,76.88,10,0.367,0,0.0
Tomato,Clay Loam,54,6,13.61,87.9,1.87,1.36,8.87,3.79,37.7,21.96,33.85,1.646,0.93,88.24,0.76,119.62,2,0.422,0,0.0
Grape,Sandy Loam,14,95,24.9,64.32,1.16,0.92,13.36,1.11,24.39,10.81,18.34,3.62,0.3,67.45,0.88,119.5,4,0.457,0,0.0
Tomato,Sandy Loam,106,274,20.51,71.08,2.0,1.26,18.8,1.56,24.4,9.45,21.63,4.308,1.15,83.29,0.528,78.94,8,0.407,1,140.48
Tomato,Sandy Loam,8,31,8.91,59.97,6.29,4.96,11.1,1.69,24.52,9.28,20.43,2.321,0.6,79.64,1.262,192.33,1,0.375,0,0.0
Grape,Loam,9,334,13.19,75.67,1.72,0.95,9.16,2.42,29.04,13.93,27.79,2.078,0.3,67.85,0.513,77.51,5,0.544,0,0.0
Apple,Clay Loam,72,111,22.27,55.1,5.67,3.72,19.98,0.8,36.93,22.37,29.28,4.832,1.08,69.18,1.14,165.98,2,0.597,0,0.0
Grape,Sandy Loam,108,75,23.29,61.61,1.04,0.57,13.46,4.23,22.0,10.18,15.25,4.91,0.85,61.4,0.778,91.96,7,0.495,1,598.71
Potato,Loam,122,274,19.42,72.67,0.81,0.42,14.17,0.6,30.34,13.72,25.81,3.085,0.857,85.64,0.54,89.75,11,0.397,0,0.0
Grape,Sandy Loam,67,43,9.51,68.2,5.56,3.15,12.88,3.54,21.49,9.99,13.54,2.629,0.85,66.64,0.602,69.23,3,0.499,1,215.45
Grape,Sandy Loam,200,315,20.08,68.56,0.26,0.2,14.87,4.01,24.24,9.8,15.93,4.174,0.717,87.45,0.653,94.29,12,0.519,1,744.62
Tomato,Clay Loam,117,129,18.54,78.69,0.15,0.12,24.16,3.08,34.48,21.69,29.46,4.754,1.052,69.9,0.708,90.55,5,0.406,1,254.23
Potato,Loam,97,139,20.42,50.18,3.59,2.85,20.95,3.95,29.84,13.33,27.1,6.308,1.15,82.41,0.526,86.84,7,0.391,1,122.42
Tomato,Sandy Loam,90,86,13.53,81.11,2.3,1.26,15.37,2.51,23.05,9.67,15.95,2.794,1.15,58.09,0.933,124.84,4,0.422,1,456.14
Apple,Silty Loam,180,286,13.76,63.61,0.35,0.18,12.8,1.93,33.96,13.51,24.96,2.952,1.05,60.66,1.632,333.74,6,0.594,0,0.0
Potato,Loam,92,255,26.99,38.93,1.73,0.93,19.64,0.87,30.47,13.59,22.84,5.546,1.15,72.43,0.584,98.58,10,0.36,1,615.2
Grape,Sandy Loam,94,41,7.1,74.81,0.28,0.18,11.02,0.6,23.79,9.35,16.36,1.756,0.85,68.36,0.685,98.91,4,0.543,0,0.0
Grape,Sandy Loam,146,327,18.37,75.43,0.0,0.0,13.02,2.28,22.09,9.89,13.39,3.058,0.85,62.68,0.976,119.07,9,0.451,1,1219.22
Grape,Loam,163,243,29.05,53.5,0.51,0.33,21.62,3.83,30.52,14.92,26.33,7.69,0.85,63.84,0.916,142.9,5,0.54,1,300.6
Tomato,Clay Loam,2,10,7.79,77.14,0.71,0.41,7.14,0.57,34.64,22.58,30.17,1.193,0.6,76.63,1.054,127.11,12,0.45,0,0.0
Potato,Silt Loam,89,348,6.64,68.44,1.07,0.81,9.86,1.47,34.86,12.63,26.53,1.772,1.15,55.38,0.476,105.81,13,0.4,0,0.0
Potato,Sandy Loam,22,43,6.15,58.57,1.19,0.91,14.79,1.01,23.49,9.58,17.61,2.449,0.5,78.28,0.411,57.17,8,0.391,1,246.98
Tomato,Clay Loam,63,43,11.48,82.72,2.13,1.18,7.18,1.72,37.03,22.44,34.82,1.406,1.054,57.96,0.932,135.98,10,0.415,0,0.0
Grape,Sandy Loam,73,321,20.64,59.34,0.67,0.4,13.37,2.19,24.05,9.27,13.73,3.947,0.85,84.34,0.739,109.22,1,0.475,1,90.43
Apple,Silty Loam,173,113,10.76,71.61,2.38,1.83,14.25,3.37,34.38,14.91,33.63,2.768,1.155,67.97,1.656,322.42,2,0.564,0,0.0
Potato,Loam,63,210,29.03,50.17,0.12,0.06,22.44,2.34,31.83,14.36,21.62,7.201,1.15,73.35,0.533,93.12,10,0.375,1,741.91
Grape,Loam,154,9,12.93,75.48,0.56,0.32,5.71,3.38,30.0,14.92,19.84,1.746,0.85,87.2,0.709,106.92,2,0.515,1,165.22
Potato,Silt Loam,98,32,8.62,88.06,3.5,2.67,11.0,0.61,32.61,12.42,27.98,1.72,1.15,85.87,0.429,86.62,4,0.385,0,0.0
Tomato,Loam,17,266,25.11,64.99,0.43,0.29,18.02,1.11,29.95,13.59,24.57,4.606,0.6,59.05,0.892,145.93,2,0.389,0,0.0
Tomato,Loam,29,161,26.98,59.62,0.13,0.09,24.3,3.59,30.47,14.23,16.86,7.274,0.6,82.99,0.934,151.68,1,0.361,1,153.17
Apple,Silty Loam,182,305,14.18,66.79,1.22,0.87,9.18,1.87,34.42,13.84,23.6,2.326,1.02,79.74,1.225,252.11,4,0.571,0,0.0
Grape,Sandy Loam,46,313,17.38,66.99,1.16,0.7,13.14,4.3,23.28,9.37,21.55,3.736,0.657,72.56,0.58,80.68,7,0.541,0,0.0
Potato,Loam,53,216,29.48,52.3,0.21,0.14,20.56,0.61,32.92,13.01,18.03,5.466,1.107,89.54,0.453,90.19,1,0.362,1,75.33
Grape,Sandy Loam,204,192,36.24,35.05,0.0,0.0,22.64,1.35,23.23,10.33,13.81,7.776,0.69,86.02,0.857,110.55,5,0.463,1,469.25
Potato,Loam,108,142,23.15,75.3,1.39,0.97,18.77,2.47,32.57,13.84,20.12,4.547,1.043,60.44,0.468,87.66,8,0.354,1,771.22
Tomato,Clay Loam,38,207,30.55,51.3,0.0,0.0,22.62,2.89,35.03,22.81,33.69,7.743,0.71,68.7,1.019,124.52,2,0.423,1,59.33
Tomato,Sandy Loam,57,23,6.28,80.15,5.72,3.93,9.53,1.75,22.51,9.67,13.52,1.504,0.971,73.3,0.852,109.4,9,0.411,1,940.45
Tomato,Loam,104,92,17.08,67.77,0.11,0.06,16.44,3.2,30.37,14.97,23.19,3.943,1.15,80.29,1.191,183.41,8,0.421,1,852.05
Potato,Loam,107,195,26.56,36.75,0.14,0.09,21.97,2.78,31.85,14.46,26.47,7.8,1.057,87.48,0.497,86.43,8,0.391,1,244.52
Grape,Loam,42,113,21.57,55.19,2.64,1.84,20.15,3.56,31.98,14.54,25.95,5.943,0.603,76.02,0.752,131.15,11,0.495,0,0.0
Tomato,Clay Loam,126,30,13.26,80.56,0.42,0.3,6.36,4.35,36.68,22.03,32.3,1.717,0.926,83.22,1.467,214.92,4,0.376,0,0.0
Potato,Silt Loam,110,249,25.66,60.37,1.92,1.46,14.79,0.61,34.73,13.57,30.25,3.769,1.017,77.38,0.504,106.65,12,0.351,0,0.0
Tomato,Sandy Loam,56,101,18.53,82.89,3.97,2.01,18.12,1.18,22.63,10.1,11.1,3.659,0.957,82.94,0.569,71.3,5,0.371,1,395.5
Apple,Silty Loam,141,139,14.51,45.04,1.26,0.63,24.31,2.97,34.46,13.11,20.04,5.663,1.2,56.98,1.646,351.42,7,0.508,1,2915.89
Grape,Sandy,18,246,32.92,53.49,0.9,0.61,23.39,3.09,16.09,7.73,9.7,8.229,0.3,84.66,0.526,43.97,10,0.536,1,397.02
Grape,Sandy Loam,150,146,30.76,41.65,0.07,0.05,24.84,3.14,24.72,9.24,17.05,9.059,0.85,66.08,0.812,125.7,2,0.536,1,188.5
Grape,Sandy,191,54,13.82,60.48,0.82,0.42,14.95,2.91,19.48,7.56,10.74,3.604,0.777,85.58,0.711,84.75,11,0.468,1,798.73
Potato,Loam,4,282,22.34,65.94,2.02,1.51,13.55,2.22,32.61,14.31,28.25,3.878,0.5,67.67,0.548,100.28,4,0.376,0,0.0
Tomato,Sandy Loam,87,9,9.91,73.43,6.12,3.49,10.59,1.92,21.35,10.97,16.88,2.045,1.15,64.63,1.454,150.93,10,0.41,1,1005.63
Tomato,Clay Loam,32,261,22.36,63.07,0.86,0.5,21.01,2.12,34.88,22.74,33.13,5.343,0.627,67.06,1.247,151.39,7,0.351,0,0.0
Apple,Silty Loam,163,156,27.56,55.97,0.24,0.18,19.83,4.02,35.5,14.47,31.28,7.0,1.2,66.3,1.483,311.87,2,0.595,1,188.79
Apple,Silty Loam,83,180,24.44,41.84,0.05,0.03,18.29,0.66,36.02,14.2,23.43,4.77,1.2,88.11,1.21,264.02,5,0.595,1,864.48
Tomato,Clay Loam,100,114,17.92,95.93,3.27,1.89,20.14,3.1,34.87,22.66,28.76,3.204,1.15,63.33,0.719,87.79,1,0.369,1,69.37
Grape,Sandy,103,321,14.99,56.5,0.88,0.49,9.21,2.21,18.2,7.79,12.9,2.839,0.85,88.85,0.968,100.77,12,0.519,0,0.0
Apple,Loam,162,197,28.75,49.53,0.35,0.25,27.78,1.17,29.91,13.45,26.35,7.537,1.2,87.43,1.206,198.51,11,0.522,1,540.17
Tomato,Sandy Loam,75,83,13.75,68.72,3.3,2.31,12.86,1.13,22.52,10.77,18.55,2.648,1.15,82.58,1.273,149.58,7,0.392,0,0.0
Potato,Sandy Loam,60,146,24.62,59.17,0.46,0.29,22.53,3.01,24.86,9.26,12.66,6.41,1.15,75.21,0.59,92.04,10,0.353,1,957.05
Apple,Clay Loam,47,120,17.62,52.02,1.7,0.94,17.78,1.7,37.06,21.62,30.45,4.441,0.705,59.58,1.102,170.15,9,0.5,0,0.0
Grape,Loam,138,270,24.53,30.08,0.15,0.1,23.31,3.85,30.1,14.44,19.19,8.853,0.85,56.45,0.768,120.27,7,0.49,1,1039.01
Potato,Sandy Loam,7,70,14.49,66.77,0.67,0.5,15.62,2.22,23.31,10.63,17.24,3.409,0.5,55.13,0.403,51.1,5,0.397,1,221.86
Potato,Sandy Loam,52,188,27.11,52.54,0.04,0.02,23.75,3.92,23.74,9.37,23.24,7.857,1.085,66.11,0.596,85.65,13,0.353,1,234.4
Potato,Silt Loam,21,174,27.06,71.74,0.22,0.13,21.19,0.62,34.04,12.11,28.28,5.137,0.5,69.15,0.4,87.72,6,0.363,0,0.0
Apple,Clay Loam,112,66,17.32,57.89,2.55,1.46,15.05,3.47,35.39,22.21,34.89,4.328,1.2,56.51,1.366,180.04,7,0.504,1,338.42
Potato,Loam,119,100,14.56,72.12,0.22,0.13,18.18,2.89,30.32,13.41,25.5,3.658,0.897,88.15,0.56,94.7,2,0.385,0,0.0
Tomato,Loam,33,206,36.72,68.22,0.01,0.0,26.7,3.82,31.98,13.05,21.28,8.629,0.641,71.25,0.928,175.67,13,0.374,1,1811.72
Grape,Sandy,228,170,29.21,61.45,0.01,0.0,26.53,1.63,19.35,7.25,14.52,7.177,0.53,67.56,0.865,104.67,12,0.462,1,742.09
Tomato,Loam,103,232,26.64,67.22,0.13,0.09,22.86,3.81,32.74,13.39,23.8,6.47,1.15,89.12,1.231,238.2,13,0.366,1,1605.33
Tomato,Sandy Loam,95,187,30.99,56.17,0.01,0.01,23.48,4.18,24.78,9.89,10.89,8.325,1.15,82.98,1.175,174.96,1,0.366,1,196.68
Apple,Loam,63,338,12.75,67.99,2.27,1.34,3.0,3.59,29.65,14.29,24.12,1.768,0.945,59.95,1.554,238.69,2,0.551,0,0.0
Apple,Clay Loam,51,12,15.94,71.15,0.15,0.11,10.62,1.25,35.28,22.08,28.95,2.398,0.765,81.99,1.597,210.8,5,0.514,0,0.0
Grape,Sandy Loam,155,207,29.13,39.08,0.0,0.0,23.88,2.24,23.45,10.63,22.95,8.008,0.85,56.67,0.991,127.05,7,0.468,1,244.82
Tomato,Clay Loam,19,232,32.37,59.25,0.05,0.03,21.13,3.64,35.79,21.32,25.2,7.552,0.6,71.62,0.795,115.04,10,0.447,1,1175.52
Potato,Silt Loam,33,327,18.52,88.22,0.29,0.21,10.64,3.26,33.67,13.18,33.17,2.175,0.673,72.34,0.577,118.23,9,0.353,0,0.0
Apple,Silty Loam,28,293,16.38,69.21,0.01,0.0,10.1,1.13,35.46,13.09,28.29,2.341,0.45,87.78,1.107,247.64,9,0.577,0,0.0
